1994-12 324.642 
1995-01 329.538 
1995-02 333.617 
1995-03 327.867 
1995-04 328.816 
1995-05 333.402 
1995-06 326.745 
1995-07 311.598 
1995-08 317.383 
1995-09 318.492 
1995-10 316.876 
1995-11 327.453 
1995-12 325.425 
1996-01 332.543 
1996-02 337.790 
1996-03 339.405 
1996-04 335.827 
1996-05 334.700 
1996-06 345.017 
1996-07 345.932 
1996-08 346.346 
1996-09 354.607 
1996-10 351.300 
1996-11 359.731 
1996-12 360.458 
1997-01 350.913 
1997-02 357.709 
1997-03 366.674 
1997-04 360.891 
1997-05 363.576 
1997-06 363.686 
1997-07 359.009 
1997-08 363.077 
1997-09 368.431 
1997-10 373.111 
1997-11 386.956 
1997-12 388.059 
1998-01 379.414 
1998-02 381.143 
1998-03 382.735 
1998-04 386.956 
1998-05 387.201 
1998-06 392.268 
1998-07 390.343 
1998-08 397.029 
1998-09 403.137 
1998-10 405.045 
1998-11 399.717 
1998-12 394.368 
1999-01 178.114 
1999-02 173.847 
1999-03 174.125 
1999-04 177.890 
1999-05 179.315 
1999-06 178.354 
1999-07 181.150 
1999-08 187.920 
1999-09 193.489 
1999-10 200.654 
1999-11 200.986 
1999-12 199.150 
2000-01 201.589 
2000-02 197.805 
2000-03 205.348 
2000-04 206.282 
2000-05 193.096 
2000-06 196.582 
2000-07 199.692 
2000-08 203.193 
2000-09 206.551 
2000-10 207.616 
2000-11 210.777 
2000-12 201.589 
2001-01 205.149 
2001-02 204.266 
2001-03 212.007 
2001-04 210.378 
2001-05 210.941 
2001-06 220.173 
2001-07 219.233 
2001-08 220.713 
2001-09 223.680 
2001-10 227.160 
2001-11 226.232 
2001-12 223.613 
2002-01 229.715 
2002-02 230.666 
2002-03 232.281 
2002-04 237.888 
2002-05 242.717 
2002-06 241.654 
2002-07 242.545 
2002-08 247.278 
2002-09 242.205 
2002-10 248.393 
2002-11 249.106 
2002-12 242.540 
2003-01 249.710 
2003-02 263.328 
2003-03 261.939 
2003-04 258.402 
2003-05 260.079 
2003-06 272.525 
2003-07 268.709 
2003-08 258.413 
2003-09 260.986 
2003-10 261.075 
2003-11 257.310 
2003-12 245.869 
2004-01 255.394 
2004-02 258.116 
2004-03 264.067 
2004-04 270.564 
2004-05 269.824 
2004-06 277.932 
2004-07 278.959 
2004-08 279.393 
2004-09 283.391 
2004-10 286.972 
2004-11 284.571 
2004-12 297.003 
2005-01 314.264 
2005-02 321.711 
2005-03 324.805 
2005-04 319.952 
2005-05 320.163 
2005-06 328.925 
2005-07 322.779 
2005-08 322.858 
2005-09 324.538 
2005-10 320.594 
2005-11 312.393 
2005-12 301.793 
2006-01 324.333 
2006-02 330.106 
2006-03 340.341 
2006-04 339.864 
2006-05 339.975 
2006-06 346.977 
2006-07 344.767 
2006-08 343.584 
2006-09 338.314 
2006-10 346.218 
2006-11 343.335 
2006-12 327.885 
2007-01 351.655 
2007-02 354.402 
2007-03 358.443 
2007-04 363.930 
2007-05 369.720 
2007-06 373.957 
2007-07 374.447 
2007-08 378.491 
2007-09 375.888 
2007-10 376.816 
