DATE	DJCA
1935-03-15	33.44
1935-03-16	33.27
1935-03-18	33.00
1935-03-19	33.50
1935-03-20	33.43
1935-03-21	34.24
1935-03-22	34.72
1935-03-23	34.39
1935-03-25	34.18
1935-03-26	33.90
1935-03-27	34.35
1935-03-28	34.36
1935-03-29	34.45
1935-03-30	34.52
1935-04-01	34.80
1935-04-02	34.63
1935-04-03	34.42
1935-04-04	34.91
1935-04-05	35.60
1935-04-06	35.79
1935-04-08	35.51
1935-04-09	36.20
1935-04-10	36.03
1935-04-11	35.87
1935-04-12	36.26
1935-04-13	36.66
1935-04-15	36.61
1935-04-16	36.64
1935-04-17	36.22
1935-04-18	36.97
1935-04-20	37.61
1935-04-22	37.88
1935-04-23	38.10
1935-04-24	37.94
1935-04-25	38.24
1935-04-26	38.19
1935-04-27	37.85
1935-04-29	37.85
1935-04-30	37.49
1935-05-01	37.33
1935-05-02	37.51
1935-05-03	37.95
1935-05-04	38.13
1935-05-06	37.90
1935-05-07	37.54
1935-05-08	38.50
1935-05-09	38.70
1935-05-10	38.88
1935-05-11	39.08
1935-05-13	39.16
1935-05-14	39.06
1935-05-15	39.30
1935-05-16	39.91
1935-05-17	39.69
1935-05-18	39.30
1935-05-20	39.30
1935-05-21	39.46
1935-05-22	39.57
1935-05-23	39.68
1935-05-24	39.68
1935-05-25	39.58
1935-05-27	39.91
1935-05-28	39.16
1935-05-29	38.81
1935-05-31	38.46
1935-06-01	38.15
1935-06-03	38.72
1935-06-04	39.40
1935-06-05	39.56
1935-06-06	39.36
1935-06-07	39.60
1935-06-08	39.80
1935-06-10	40.05
1935-06-11	40.62
1935-06-12	40.48
1935-06-13	40.66
1935-06-14	41.19
1935-06-15	41.36
1935-06-17	41.30
1935-06-18	41.59
1935-06-19	41.28
1935-06-20	40.96
1935-06-21	41.77
1935-06-22	42.18
1935-06-24	41.97
1935-06-25	41.39
1935-06-26	40.98
1935-06-27	40.89
1935-06-28	41.27
1935-06-29	41.19
1935-07-01	41.38
1935-07-02	41.29
1935-07-03	41.40
1935-07-05	41.92
1935-07-06	41.99
1935-07-08	42.40
1935-07-09	42.39
1935-07-10	42.54
1935-07-11	42.12
1935-07-12	42.29
1935-07-13	42.24
1935-07-15	42.22
1935-07-16	42.36
1935-07-17	42.60
1935-07-18	42.65
1935-07-19	42.30
1935-07-20	42.38
1935-07-22	42.87
1935-07-23	42.95
1935-07-24	43.09
1935-07-25	42.75
1935-07-26	43.02
1935-07-27	43.45
1935-07-29	44.07
1935-07-30	43.64
1935-07-31	44.16
1935-08-01	44.00
1935-08-02	43.76
1935-08-03	44.33
1935-08-05	44.47
1935-08-06	44.23
1935-08-07	44.05
1935-08-08	44.19
1935-08-09	45.00
1935-08-10	45.44
1935-08-12	44.62
1935-08-13	45.90
1935-08-14	45.92
1935-08-15	45.49
1935-08-16	45.98
1935-08-17	46.23
1935-08-19	45.15
1935-08-20	45.16
1935-08-21	45.56
1935-08-22	45.72
1935-08-23	45.70
1935-08-24	44.90
1935-08-26	45.36
1935-08-27	44.25
1935-08-28	44.25
1935-08-29	44.51
1935-08-30	44.72
1935-08-31	45.05
1935-09-03	44.72
1935-09-04	45.26
1935-09-05	45.66
1935-09-06	46.27
1935-09-07	46.67
1935-09-09	46.78
1935-09-10	47.00
1935-09-11	47.23
1935-09-12	46.89
1935-09-13	46.81
1935-09-14	46.72
1935-09-16	46.47
1935-09-17	46.51
1935-09-18	46.88
1935-09-19	46.02
1935-09-20	44.78
1935-09-21	44.88
1935-09-23	45.19
1935-09-24	45.62
1935-09-25	45.83
1935-09-26	45.70
1935-09-27	45.73
1935-09-28	45.80
1935-09-30	45.75
1935-10-01	45.35
1935-10-02	43.92
1935-10-03	44.32
1935-10-04	44.48
1935-10-05	44.69
1935-10-07	44.97
1935-10-08	44.74
1935-10-09	44.90
1935-10-10	45.70
1935-10-11	45.75
1935-10-14	46.21
1935-10-15	46.72
1935-10-16	46.53
1935-10-17	46.40
1935-10-18	46.21
1935-10-19	46.86
1935-10-21	47.34
1935-10-22	47.71
1935-10-23	47.88
1935-10-24	47.68
1935-10-25	48.25
1935-10-26	48.57
1935-10-28	48.37
1935-10-29	48.38
1935-10-30	47.98
1935-10-31	48.14
1935-11-01	48.61
1935-11-02	48.55
1935-11-04	48.63
1935-11-06	49.23
1935-11-07	49.35
1935-11-08	49.73
1935-11-09	49.78
1935-11-12	49.09
1935-11-13	49.69
1935-11-14	50.43
1935-11-15	50.67
1935-11-16	51.07
1935-11-18	50.92
1935-11-19	51.43
1935-11-20	49.46
1935-11-21	49.98
1935-11-22	49.05
1935-11-23	49.94
1935-11-25	49.49
1935-11-26	50.00
1935-11-27	50.51
1935-11-29	50.01
1935-11-30	50.08
1935-12-02	49.59
1935-12-03	50.79
1935-12-04	51.31
1935-12-05	51.17
1935-12-06	51.10
1935-12-07	51.58
1935-12-09	51.49
1935-12-10	50.78
1935-12-11	50.96
1935-12-12	50.38
1935-12-13	49.82
1935-12-14	49.83
1935-12-16	49.35
1935-12-17	49.87
1935-12-18	49.71
1935-12-19	49.27
1935-12-20	49.49
1935-12-21	49.70
1935-12-23	49.70
1935-12-24	49.99
1935-12-26	50.20
1935-12-27	50.04
1935-12-28	49.81
1935-12-30	50.67
1935-12-31	51.10
1936-01-02	51.20
1936-01-03	51.65
1936-01-04	51.70
1936-01-06	51.29
1936-01-07	52.23
1936-01-08	52.55
1936-01-09	52.29
1936-01-10	52.66
1936-01-11	52.52
1936-01-13	52.68
1936-01-14	52.85
1936-01-15	52.56
1936-01-16	52.79
1936-01-17	52.67
1936-01-18	52.29
1936-01-20	51.92
1936-01-21	51.76
1936-01-22	52.78
1936-01-23	53.29
1936-01-24	53.06
1936-01-25	53.28
1936-01-27	53.56
1936-01-28	53.67
1936-01-29	54.08
1936-01-30	53.78
1936-01-31	54.66
1936-02-01	54.53
1936-02-03	54.83
1936-02-04	55.13
1936-02-05	54.99
1936-02-06	55.26
1936-02-07	55.07
1936-02-08	55.09
1936-02-10	55.48
1936-02-11	56.13
1936-02-13	56.44
1936-02-14	56.21
1936-02-15	56.45
1936-02-17	55.84
1936-02-18	56.43
1936-02-19	56.20
1936-02-20	57.19
1936-02-21	57.04
1936-02-24	56.54
1936-02-25	55.65
1936-02-26	55.35
1936-02-27	56.53
1936-02-28	56.24
1936-02-29	55.87
1936-03-02	56.58
1936-03-03	57.23
1936-03-04	57.41
1936-03-05	57.81
1936-03-06	57.99
1936-03-07	57.54
1936-03-09	55.86
1936-03-10	56.52
1936-03-11	57.01
1936-03-12	55.45
